id,term,translation,domain
1,absorb,Anonom,science
2,absorb,nonom,science
3,acceleration,Ne mirika,science
4,action,Adeyɔ,science
5,adapt,sakra,science
6,adapt,sesa,science
7,adaptation,nsakrae,science
8,adaptation,nsesae,science
9,adjust,Danedane,science
10,adult,ɔpanyin,science
11,advantage,Ediboa,science
12,affect,biribi,science
13,air,Mframa,science
14,air mass,mframa mu duru,science
15,air pressure,mframa tumi,science
16,air resistance,mframa a ɛkotia,science
17,alternate,Ɛsesa sesa,science
18,alto,fam,science
19,amount,Ne dodoɔ,science
20,amplitude,Abuso,science
21,analyze,Hwehwɛ mu,science
22,anatomy,Abosuo,science
23,anatomy,mmoa bɔbea,science
24,ancestor,Nananom,science
25,ancient,Tete,science
26,angle,Angle,science
27,animal,Aboa,science
28,Animalia,Mmoadoma,science
29,appliance,Yɛde di dwuma,science
30,appliance,adwinnade,science
31,apply,Fa yɛ adwuma,science
32,apply,fa di dwuma,science
33,appropriate,Ɛfata,science
34,approximately,Fa w’anibu,science
35,arrange,Hyehyɛ,science
36,asexual,Onni bɔbeasu,science
37,assemble,Boa ano,science
38,asteroid,Wiemboba,science
39,atmosphere,Ewiem nsɛm,science
40,atom,Atom,science
41,atomic number,Atom nɔma,science
42,available,Ɛwɔ hɔ,science
43,axis,Ntwaho dua,science
44,bacteria,Aboawa,science
45,balance,Nsɛneɛ,science
46,balance,Nsɛnia,science
47,balance,Ɛyɛ pɛ,science
48,bar graph,Nkonta mu nfonin,science
49,bare,Ɛho da hɔ,science
50,battery,Batre,science
51,bed,Mpa,science
52,behavior,Suban,science
53,beneficial,Ediboa,science
54,benefit,Nnepa,science
55,benefit,mfaso,science
56,best,nea eye paa,science
57,binary fission,Emu paepae mmienu,science
58,bird,Anomaa,science
59,blink,Bɔ w’ani,science
60,blizzard,asukɔtweaa,science
61,block,Si kwan,science
62,blood tissue,Mogya mu adeɛ,science
63,blood tissue,nneɛma,science
64,blossom,Eyi nhwere,science
65,blossom,ɛyɛ frɔmfrɔm,science
66,blossom,egu nhwiren,science
67,boil,Ehuru,science
68,boiling point,Berɛ a ehuru,science
69,bone tissue,Dompe mu adeɛ,science
70,bounce,Ehurihuri,science
71,brain,Adwene,science
72,brain,amemene,science
73,bundle,Bɔ no boa,science
74,bundle,ka bom,science
75,bundle,kyekyere,science
76,buoyancy,emu yɛ hare,science
77,calcium,Kalseɔm,science
78,calorie,Aduane duro,science
79,cancer,Kokoram,science
80,capillary,Ntini nketenkete paa,science
81,capture,Kyere,science
82,carbohydrate,Kabohaidrete,science
83,carbon (C),Kaabɔn,science
84,carbon dioxide (CO₂),mframa bɔne,science
85,category,Akuo,science
86,caterpillar,Osa,science
87,celestial,Ɛwɔ wiem,science
88,cell,Sɛll,science
89,cell,nkwammoa,science
90,cell cycle,Sɛll ntwaho,science
91,cell cycle,nkwammoa kyinhyiadi,science
92,cell division,Sɛll nkyekyemu,science
93,cell division,nkwammoa nkyekyɛ mu,science
94,cell membrane,nkwammoa nnuraho,science
95,cell theory,Sɛll ho adesua,science
96,cell theory,nkwammoa ho nkyerɛkyerɛ,science
97,cell wall,Sɛll ho afasuo,science
98,cell wall,nkwammoa ho fasu,science
99,cellular respiration,Sɛll mu ahome,science
100,cellular respiration,nkwammoa ahome,science
101,Celsius (°C),Selhyios,science
102,Celsius (°C),selsiɔs,science
103,cement,Somente,science
104,centimeter (cm),Sɛntimeter,science
105,central nervous system,Adwene mu,science
106,chain,Ɛsesaso,science
107,chain,Ɛtoatoa so,science
108,chain,kɔnsɔnkɔnsɔn,science
109,change,Ɛsesa,science
110,change of motion,Asesa n’ahokeka,science
111,change of speed,Asesa ne mmirika,science
112,characteristic,Ne su,science
113,chart,Nfonin,science
114,chemical,Aduro,science
115,chemical bond,Aduro no mfamho,science
116,chemical change,Aduro nsesae,science
117,chemical energy,Aduro no ahoɔden,science
118,chemical property,Aduro ne su,science
119,chemical reaction,Aduro mu nsusuansoɔ,science
120,chemical system,Aduro mu nhyehyɛeɛ,science
121,choose,Yi,science
122,choose,paw,science
123,chromosome,Kromosome,science
124,circulation,Ɛfefa baabi,science
125,circulation,kyinhyiadi,science
126,classification,Y’ahyehyɛ no akuoakuo,science
127,classify,Hyehyɛ no akuoakuo,science
128,climate,Ewiem nsesaeɛ,science
129,cloud,Mununkum,science
130,coal,Asaase mu bidie,science
131,code,Kodu,science
132,code,ahyɛnsode,science
133,code,akwankyerɛ,science
134,cold front,Mframa nwununwunu,science
135,collect,Gyegye,science
136,collide,Apem,science
137,color,Ahosuo,science
138,column,Afa,science
139,comfortable,Ahodwoɔ,science
140,comfortable,ahotɔ,science
141,communicate,Dinkitaho,science
142,community,Mpɔtɛmo,science
143,compare,Fatoto ho,science
144,competition,Akansie,science
145,compose,Twa,science
146,compose,yɛ biribi,science
147,compound,Mmɔhommɔho,science
148,compress,Moa,science
149,compress,mia so,science
150,Compression,Ademoa,science
151,Computer,Komputa,science
152,Conclude,Wie,science
153,Conclusion,Awieɛ,science
154,condense,Mframa dane nsuo,science
155,condition,Tebea,science
156,conduct,Ahoɔden tumi famu,science
157,conduction,Sɛ ahoɔden refamu,science
158,consequences,Nsunsuansoɔ,science
159,conservation,Adekora,science
160,conservation of energy,Ɛrekora ahoɔden,science
161,conservation of mass,Ɛrekora emuduro,science
162,conserve,Kora,science
163,consist of,Nea ɛwɔ mu,science
164,consistent,Ɛntaa nsesa,science
165,constant,Egyina faako,science
166,construct,Si,science
167,consumer,Nea odie,science
168,contain,Sɔ ano,science
169,content,Nea ɛwɔ mu,science
170,continent,Asaasetam,science
171,contrast,nsɛnia,science
172,control,Di so,science
173,coordinate,Toto nneɛma,science
174,coordination,Ntotoeɛ,science
175,core,Ne mfinfin,science
176,covalent bond,Kofalent mfamho,science
177,create,Nwene,science
