id,term,translation
1,absorb,Anonom
2,absorb,nonom
3,acceleration,Ne mirika
4,action,Adeyɔ
5,adapt,sakra
6,adapt,sesa
7,adaptation,nsakrae
8,adaptation,nsesae
9,adjust,Danedane
10,adult,ɔpanyin
11,advantage,Ediboa
12,affect,biribi
13,air,Mframa
14,air mass,mframa mu duru
15,air pressure,mframa tumi
16,air resistance,mframa a ɛkotia
17,alternate,Ɛsesa sesa
18,alto,fam
19,amount,Ne dodoɔ
20,amplitude,Abuso
21,analyze,Hwehwɛ mu
22,anatomy,Abosuo
23,anatomy,mmoa bɔbea
24,ancestor,Nananom
25,ancient,Tete
26,angle,Angle
27,animal,Aboa
28,Animalia,Mmoadoma
29,appliance,Yɛde di dwuma
30,appliance,adwinnade
31,apply,Fa yɛ adwuma
32,apply,fa di dwuma
33,appropriate,Ɛfata
34,approximately,Fa w’anibu
35,arrange,Hyehyɛ
36,asexual,Onni bɔbeasu
37,assemble,Boa ano
38,asteroid,Wiemboba
39,atmosphere,Ewiem nsɛm
40,atom,Atom
41,atomic number,Atom nɔma
42,available,Ɛwɔ hɔ
43,axis,Ntwaho dua
44,bacteria,Aboawa
45,balance,Nsɛneɛ
46,balance,Nsɛnia
47,balance,Ɛyɛ pɛ
48,bar graph,Nkonta mu nfonin
49,bare,Ɛho da hɔ
50,battery,Batre
51,bed,Mpa
52,behavior,Suban
53,beneficial,Ediboa
54,benefit,Nnepa
55,benefit,mfaso
56,best,nea eye paa
57,binary fission,Emu paepae mmienu
58,bird,Anomaa
59,blink,Bɔ w’ani
60,blizzard,asukɔtweaa
61,block,Si kwan
62,blood tissue,Mogya mu adeɛ
63,blood tissue,nneɛma
64,blossom,Eyi nhwere
65,blossom,ɛyɛ frɔmfrɔm
66,blossom,egu nhwiren
67,boil,Ehuru
68,boiling point,Berɛ a ehuru
69,bone tissue,Dompe mu adeɛ
70,bounce,Ehurihuri
71,brain,Adwene
72,brain,amemene
73,bundle,Bɔ no boa
74,bundle,ka bom
75,bundle,kyekyere
76,buoyancy,emu yɛ hare
77,calcium,Kalseɔm
78,calorie,Aduane duro
79,cancer,Kokoram
80,capillary,Ntini nketenkete paa
81,capture,Kyere
82,carbohydrate,Kabohaidrete
83,carbon (C),Kaabɔn
84,carbon dioxide (CO₂),mframa bɔne
85,category,Akuo
86,caterpillar,Osa
87,celestial,Ɛwɔ wiem
88,cell,Sɛll
89,cell,nkwammoa
90,cell cycle,Sɛll ntwaho
91,cell cycle,nkwammoa kyinhyiadi
92,cell division,Sɛll nkyekyemu
93,cell division,nkwammoa nkyekyɛ mu
94,cell membrane,nkwammoa nnuraho
95,cell theory,Sɛll ho adesua
96,cell theory,nkwammoa ho nkyerɛkyerɛ
97,cell wall,Sɛll ho afasuo
98,cell wall,nkwammoa ho fasu
99,cellular respiration,Sɛll mu ahome
100,cellular respiration,nkwammoa ahome
101,Celsius (°C),Selhyios
102,Celsius (°C),selsiɔs
103,cement,Somente
104,centimeter (cm),Sɛntimeter
105,central nervous system,Adwene mu
106,chain,Ɛsesaso
107,chain,Ɛtoatoa so
108,chain,kɔnsɔnkɔnsɔn
109,change,Ɛsesa
110,change of motion,Asesa n’ahokeka
111,change of speed,Asesa ne mmirika
112,characteristic,Ne su
113,chart,Nfonin
114,chemical,Aduro
115,chemical bond,Aduro no mfamho
116,chemical change,Aduro nsesae
117,chemical energy,Aduro no ahoɔden
118,chemical property,Aduro ne su
119,chemical reaction,Aduro mu nsusuansoɔ
120,chemical system,Aduro mu nhyehyɛeɛ
121,choose,Yi
122,choose,paw
123,chromosome,Kromosome
124,circulation,Ɛfefa baabi
125,circulation,kyinhyiadi
126,classification,Y’ahyehyɛ no akuoakuo
127,classify,Hyehyɛ no akuoakuo
128,climate,Ewiem nsesaeɛ
129,cloud,Mununkum
130,coal,Asaase mu bidie
131,code,Kodu
132,code,ahyɛnsode
133,code,akwankyerɛ
134,cold front,Mframa nwununwunu
135,collect,Gyegye
136,collide,Apem
137,color,Ahosuo
138,column,Afa
139,comfortable,Ahodwoɔ
140,comfortable,ahotɔ
141,communicate,Dinkitaho
142,community,Mpɔtɛmo
143,compare,Fatoto ho
144,competition,Akansie
145,compose,Twa
146,compose,yɛ biribi
147,compound,Mmɔhommɔho
148,compress,Moa
149,compress,mia so
150,Compression,Ademoa
151,Computer,Komputa
152,Conclude,Wie
153,Conclusion,Awieɛ
154,condense,Mframa dane nsuo
155,condition,Tebea
156,conduct,Ahoɔden tumi famu
157,conduction,Sɛ ahoɔden refamu
158,consequences,Nsunsuansoɔ
159,conservation,Adekora
160,conservation of energy,Ɛrekora ahoɔden
161,conservation of mass,Ɛrekora emuduro
162,conserve,Kora
163,consist of,Nea ɛwɔ mu
164,consistent,Ɛntaa nsesa
165,constant,Egyina faako
166,construct,Si
167,consumer,Nea odie
168,contain,Sɔ ano
169,content,Nea ɛwɔ mu
170,continent,Asaasetam
171,contrast,nsɛnia
172,control,Di so
173,coordinate,Toto nneɛma
174,coordination,Ntotoeɛ
175,core,Ne mfinfin
176,covalent bond,Kofalent mfamho
177,create,Nwene
178,crest,Atifi
179,crop,Nɔbaeɛ
180,crust,Ɛho
181,crystal,Ɛboɔ hyɛnhyɛn
182,crystallization,Ɛredane boɔ hyɛnhyɛn
183,cubic,Kubik
184,cubic centimeter,Kubik sɛntimeta
185,cure,Ayaresa
186,cycle,kyinhyia
187,cytoplasm,nkwammoa
188,daily,Da biara da
189,dam,Su tadeɛ
190,data,Data
191,data table,Data pono
192,daylight,Awiabrɛ han
193,decay,Aprɔ
194,decrease,Ɛso ate
195,defend,Banbɔ
196,deficient,Ɛtɔsini
197,define,Kyerɛ aseɛ
198,definite,Ɛtoɔtwa
